country;life_expect_2015;life_expect_2016;life_expect_2017;Corruption perception_index_2015;Corruption perception_index_2016;Corruption perception_index_2017;Education_exp_2015;Education_exp_2016;Education_exp_2017;freedix_2015;freedix_2016;freedix_2017;gdp_growth_2015;gdp_growth_2016;gdp_growth_2017;gini_2015;gini_2016;gini_2017;health_spend;10per_richest_2015;10per_richest_2016;10per_richest_2017;Military_exp_2015;Military_exp_2016;Military_exp_2017
Madagascar;63;63.2;63.5;28;26;24;0;0;0;3.5;3.5;3.5;1.52;2.1;2.64;42.7;42.7;42.7;21.9;0;0;0;0.00605;0.00594;0.0058
Malawi;61.7;62.4;63.2;31;31;31;0.0955;0.0816;0;3;3;3;3.52;3.5;3.25;45.5;45.5;45.5;39.3;0;38.1;0;0.00635;0.00642;0.00765
Malaysia;74.6;74.7;74.7;50;49;47;0.161;0.161;0.161;4;4;4;3.25;3.25;3.25;41.2;41.1;41.1;356;31.3;0;0;0.0153;0.0141;0.0112
Maldives;81.2;81.3;81.5;;36;33;0.187;0.161;0;4.5;5;5;2.74;2.92;2.98;38.4;38.4;38.4;281;0;25.2;0;;;
Mali;61.1;61.6;62;35;32;31;0.134;0.0934;0.123;4.5;4.5;4.5;1.82;1.71;1.46;33;33;33;25.9;0;0;0;0.0236;0.0259;0.0303
Malta;81.2;81;81;60;55;56;0.228;0;0;1;1;1;1.62;1.5;1.43;29.2;29.3;29.4;1480;23.6;23.1;23.3;0.00484;0.00522;0.00507
Mauritania;69.9;70.2;70.5;31;27;28;0.096;0.102;0;5.5;5.5;5.5;4.05;3.82;6.07;32.7;32.6;32.6;42;0;0;0;0.0276;0.0294;0.0293
Mauritius;74.5;74.5;74.8;53;54;50;0.125;0.141;0.157;1.5;1.5;1.5;3.49;3.74;3.63;35.8;35.8;35.8;335;0;0;29.9;0.00146;0.0018;0.00171
Mexico;75.9;75.9;75.5;31;30;29;0.144;0.138;0;3;3;3;2.46;2.73;2.73;46.5;46.3;46;0;0;36.9;0;0.00468;0.00496;0.00439
Moldova;71.8;72.4;72.9;33;30;31;0.348;0.325;0.325;3;3;3;4.53;4.53;4.03;27;26.6;26.5;165;22.5;22.7;21.7;0.00354;0.00404;0.00323
Mongolia;68.6;68.8;68.9;39;38;36;0.132;0.166;0.141;1.5;1.5;1.5;5.91;3.9;7.02;32.4;32.3;32.3;120;0;25.6;0;0.00866;0.00864;0.00765
Montenegro;76.4;76.4;76.5;44;45;46;;;;3;3;3;2.73;2.44;2.73;32;31.9;31.9;776;27.7;0;0;0.014;0.0141;0.0136
